date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:23	47135/47135	---M--	200	added ('OK')	image/png	etag:%228c19d2813295910450fab490383f8ab6%22	https://static.tildacdn.net/tild3832-3034-4964-b761-613237303138/image.png	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/tild3832-3034-4964-b761-613237303138/image.png	(from https://www.azstudio.agency/)
10:52:23	122168/122168	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221dd38-61d0aac82c20d%22	https://www.azstudio.agency/t.me	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/t.me	(from https://www.azstudio.agency/)
10:52:24	122168/122168	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221dd38-61d0aacd60797%22	https://www.azstudio.agency/wa.me	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/wa.me	(from https://www.azstudio.agency/)
10:52:24	122168/122168	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221dd38-61d0aacd77166%22	https://www.azstudio.agency/vk.me	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/vk.me	(from https://www.azstudio.agency/)
10:52:25	122168/122168	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221dd38-61d0aac82c20d%22	https://www.azstudio.agency/m.me	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/m.me	(from https://www.azstudio.agency/)
10:52:25	59897/59897	---M-Z	200	added ('OK')	text/html	etag:%22e9f9-61d0aac7d91ef-gzip%22	https://www.azstudio.agency/policy	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/policy.html	(from https://www.azstudio.agency/)
10:52:26	74056/74056	---M-Z	200	added ('OK')	text/html	etag:%2212148-61d0aacd2cb75-gzip%22	https://www.azstudio.agency/offer	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/offer.html	(from https://www.azstudio.agency/)
10:52:26	31465/31465	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266714670-7ae9%22	https://static.tildacdn.net/js/tilda-phone-mask-1.1.min.js	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/static.tildacdn.net/js/tilda-phone-mask-1.1.min.js	(from https://www.azstudio.agency/)
10:52:27	120683/120683	---M-Z	200	added ('OK')	text/html	etag:%221d76b-61d0aacf2f838-gzip%22	https://www.azstudio.agency/brandidentity	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/brandidentity.html	(from https://www.azstudio.agency/)
10:52:29	120641/120641	---M-Z	200	added ('OK')	text/html	etag:%221d741-61d0aacea4d7c-gzip%22	https://www.azstudio.agency/ux_ui	C:/Users/rayyan/Documents/Project/git-darkverse-inventions/nezdeck/nezdeck/www.azstudio.agency/ux_ui.html	(from https://www.azstudio.agency/)
